"시료명","K0400 K04L5004Reformate from PLT"
"수집 일시","2018-08-22 오전 8:30:45"

,"mass %",n-Paraffins,i-Paraffins,Olefins,Naphtenes,Aromatics,Oxygenates
,"C1",-,-,-,-,-,-,0.000
,"C2",-,-,-,-,-,-,0.000
,"C3",0.056,-,-,-,-,-,0.056
,"C4",0.761,0.508,0.063,-,-,-,1.332
,"C5",1.274,1.873,0.380,-,-,-,3.527
,"C6",1.972,4.801,0.594,0.300,8.256,-,15.924
,"C7",0.762,2.893,0.512,0.386,26.881,-,31.433
,"C8",0.101,0.326,-,0.045,31.187,-,31.659
,"C9",0.019,0.067,-,-,14.759,-,14.845
,"C10",0.005,0.007,-,0.031,0.290,-,0.333
,"C11",-,-,-,-,-,-,0.000
,"C12",0.011,-,-,-,0.412,-,0.424
,"C13",0.017,-,0.031,-,-,-,0.048
,"Total",4.979,10.475,1.580,0.763,81.784,0.000,99.581
,"Heavies",,,,,,,0.000
,"Unknowns",,,,,,,0.419
,""
,"volume %",n-Paraffins,i-Paraffins,Olefins,Naphtenes,Aromatics,Oxygenates
,"C1",-,-,-,-,-,-,0.000
,"C2",-,-,-,-,-,-,0.000
,"C3",0.092,-,-,-,-,-,0.092
,"C4",1.082,0.749,0.087,-,-,-,1.918
,"C5",1.672,2.487,0.474,-,-,-,4.633
,"C6",2.460,6.005,0.705,0.328,7.724,-,17.222
,"C7",0.917,3.479,0.595,0.423,25.496,-,30.909
,"C8",0.118,0.382,-,0.048,29.545,-,30.092
,"C9",0.022,0.077,-,-,13.892,-,13.990
,"C10",0.006,0.008,-,0.032,0.260,-,0.305
,"C11",-,-,-,-,-,-,0.000
,"C12",0.012,-,-,-,0.381,-,0.393
,"C13",0.018,-,0.033,-,-,-,0.051
,"Total",6.399,13.186,1.894,0.831,77.297,0.000,99.607
,"Heavies",,,,,,,0.000
,"Unknowns",,,,,,,0.393
,""
,"mole %",n-Paraffins,i-Paraffins,Olefins,Naphtenes,Aromatics,Oxygenates
,"C1",-,-,-,-,-,-,0.000
,"C2",-,-,-,-,-,-,0.000
,"C3",0.122,-,-,-,-,-,0.122
,"C4",1.266,0.844,0.109,-,-,-,2.218
,"C5",1.705,2.507,0.515,-,-,-,4.727
,"C6",2.211,5.382,0.683,0.345,10.210,-,18.830
,"C7",0.735,2.789,0.503,0.380,28.181,-,32.588
,"C8",0.085,0.276,-,0.039,28.376,-,28.776
,"C9",0.015,0.051,-,-,11.863,-,11.928
,"C10",0.003,0.005,-,0.021,0.213,-,0.242
,"C11",-,-,-,-,-,-,0.000
,"C12",0.006,-,-,-,0.245,-,0.252
,"C13",0.009,-,0.016,-,-,-,0.025
,"Total",6.157,11.852,1.826,0.785,79.087,0.000,99.708
,"Heavies",,,,,,,0.000
,"Unknowns",,,,,,,0.292
,""
,"",RON,Carbon %,Oxygen%,MW,Sp.Gr.
,"C1",0.000,0.000,0.000,0.000,0.000
,"C2",0.000,0.000,0.000,0.000,0.000
,"C3",0.112,0.046,0.000,44.100,0.500
,"C4",2.238,1.103,0.000,58.022,0.571
,"C5",3.930,2.939,0.000,72.067,0.626
,"C6",14.161,14.048,0.000,81.689,0.760
,"C7",34.335,28.364,0.000,93.176,0.836
,"C8",40.603,28.624,0.000,106.279,0.865
,"C9",12.517,13.348,0.000,120.222,0.873
,"C10",0.275,0.301,0.000,132.755,0.896
,"C11",0.000,0.000,0.000,0.000,0.000
